mode,query,query_type,difficulty,latency,ndcg@5,ndcg@10,mrr,recall@5,recall@10,precision@5,precision@10,f1@5,f1@10,relevant_count,result_doc_types,relevance_scores
Pure_Vector,paper jam solution,keyword,easy,0.4217972755432129,0.9124087591240877,0.7112857336404282,1.0,1.0,1.0,0.8,0.4,0.888888888888889,0.5714285714285715,5.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]","[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Pure_Vector,how to reset the device,semantic,easy,0.09283852577209473,0.21897810218978103,0.17070857607370277,0.5,0.3333333333333333,0.3333333333333333,0.2,0.1,0.25,0.15384615384615383,2.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Pure_Vector,scan to email,keyword,easy,0.018048763275146484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,"[""Game"", ""Game"", ""TechDocs"", ""Other"", ""TechDocs"", ""TechDocs"", ""Game"", ""Game"", ""TechDocs"", ""TechDocs""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Pure_Vector,replace toner cartridge,keyword,easy,0.04997611045837402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Pure_Vector,connect printer to wifi network,semantic,medium,0.04212188720703125,0.7664233576642336,0.5974800162579597,1.0,1.0,1.0,0.6,0.3,0.7499999999999999,0.4615384615384615,3.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]","[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Pure_Vector,software update for printer,semantic,medium,0.03355836868286133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Pure_Vector,print from mobile phone,semantic,medium,0.022586345672607422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Pure_Vector,troubleshoot print quality,semantic,hard,0.016237258911132812,0.6569343065693432,0.5121257282211082,1.0,0.6666666666666666,0.6666666666666666,0.4,0.2,0.5,0.30769230769230765,2.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Pure_Vector,configure network settings,semantic,hard,0.014194965362548828,0.6569343065693432,0.5121257282211082,1.0,0.6666666666666666,0.6666666666666666,0.4,0.2,0.5,0.30769230769230765,3.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""Legal""]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Pure_Vector,send fax to multiple recipients,semantic,hard,0.014702320098876953,0.854014598540146,0.7463758298333559,1.0,1.3333333333333333,2.0,0.8,0.6,1.0,0.923076923076923,8.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]","[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
Pure_Vector,clean the printhead,semantic,medium,0.015186786651611328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Pure_Vector,factory reset printer,semantic,medium,0.015527009963989258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Pure_Vector,check ink level,keyword,easy,0.013788938522338867,0.43795620437956206,0.34141715214740553,1.0,0.3333333333333333,0.3333333333333333,0.2,0.1,0.25,0.15384615384615383,1.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Pure_Vector,duplex printing setup,semantic,medium,0.012247562408447266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Pure_Vector,scan document to USB drive,semantic,medium,0.016293048858642578,0.43795620437956206,0.34141715214740553,1.0,0.3333333333333333,0.3333333333333333,0.2,0.1,0.25,0.15384615384615383,1.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""Other"", ""TechDocs""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Pure_Vector,maintenance schedule,keyword,medium,0.01432657241821289,0.43795620437956206,0.34141715214740553,1.0,0.3333333333333333,0.3333333333333333,0.2,0.1,0.25,0.15384615384615383,2.0,"[""TechDocs"", ""Other"", ""Other"", ""Other"", ""Game"", ""TechDocs"", ""Other"", ""Financial"", ""TechDocs"", ""TechDocs""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Pure_Vector,energy saving mode,keyword,easy,0.012329339981079102,0.6569343065693432,0.5121257282211082,1.0,0.6666666666666666,0.6666666666666666,0.4,0.2,0.5,0.30769230769230765,4.0,"[""TechDocs"", ""TechDocs"", ""Other"", ""Other"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""Other"", ""TechDocs""]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
Pure_Vector,change paper size,keyword,easy,0.015471696853637695,0.43795620437956206,0.38409429616583124,1.0,0.3333333333333333,0.6666666666666666,0.2,0.2,0.25,0.30769230769230765,3.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
